Id,Category,Title,Description
1,4,BEA buzzing about Beehive,"BURLINGAME, CALIF.-- BEA Systems is expanding the open source Beehive initiative but still has no plans to participate in the Eclipse open source tools organization, despite the embrace of Beehive by Eclipse."
2,3,Saudi Violence Pushes Oil Prices Higher,"Oil prices were forced higher today by an outbreak of violence in Saudi Arabia and concerns that Opec may cut output. The cost of a barrel of light, sweet crude oil climbed "
3,1,Storm shows Haiti #39;s straits,"Muddy waters still occupied the heart of Gonaives last weekend, three weeks after Tropical Storm Jeanne provoked flash floods that killed some 1,900 and left 900 presumed dead."
4,4,Crews Fail to Find Tree-Killing Beetle (AP),"AP - Survey crews searching through woods and neighborhoods in northeast Indiana have not found any new signs of the beetle blamed for killing millions of ash trees in Michigan and Ohio, a state official said."
5,2,Justice Is Too Light,"It's too bad Stern stopped at 30 games for Ron Artest's Indiana teammate Stephen Jackson, who should have been kicked out for the rest of the season, too."
6,2,Pacers Hang Tough Minus Suspended Players (AP),"AP - Using a makeshift roster a night after brawling with fans, the Indiana Pacers pressed the Orlando Magic until the very end. Limited to just six players because of suspensions and injuries, the Pacers stayed close before dropping an 86-83 decision to Orlando on Saturday night."
7,2,O's Lose 10th Straight,"The A's use home runs by Erubiel Durazo and Eric Chavez to finish a four-game sweep of the crumbling Orioles, 9-4, on Thursday."
8,3,OPEC likely to push to tighten supply,"OPEC oil producers meeting here this week are likely to clamp down on excess supply has that helped lower prices from record highs and will discuss how much to raise their price target, cartel officials said yesterday."
9,2,A breakthrough could be in the works,"By now, every Aggie knows the significance of coach Dennis Franchione #39;s second year. Year two is usually his signature season, the one people look back at as the return to prominence."
10,2,Baseball: Have a seat - sitting in the lap of Chicago Cubs #39; &lt;b&gt;...&lt;/b&gt;,"CHICAGO It was a birthday gift from his girlfriend and brother, a box-seat ticket to a Chicago Cubs game against Montreal at Wrigley Field."
11,4,Microsoft delays security update for Windows XP Professional,"REDMOND, Wash. -- Microsoft has delayed distribution of a security update for users of its Windows XP Professional operating system to give some companies more time to test it, the software company said Tuesday. "
12,3,"Samsung Q3 sales, profits show strong growth","Its net income during the June to September period was 2.69tr won (1.2bn), 46 up on the same period a year earlier. During the period, which is Samsung Electronics #39; fiscal third quarter, the company said "
13,4,Sony Ericsson introduces new quad-band EDGE/Wi-Fi PC card,The GC89 PC Card combines global EDGE coverage with the WiFi technology in a single card which is compatible with both Windows and Macintosh computers.
14,1,8 Terror Suspects Appear in British Court,"LONDON - Eight men accused of plotting to commit murder and cause mayhem with radioactive materials, toxic gases, chemicals or explosives appeared in court Wednesday in a case linked to a U.S. terror alert this month..."
15,2,American Sprinters Show a Mix of Bluster and Speed,Shawn Crawford of the United States left the baseball cap at home and no longer needed the showy sunglasses he wore in Saturday morning #39;s first heat.
16,1,Aides Seeking Arafat Burial in West Bank,"As Yasir Arafat lay in a deep coma, Palestinian officials asked Israel for permission to bury him in Ramallah."
17,1,UN scaling back Darfur food aid,The World Food Programme scales back its projects in Darfur in Sudan because of worsening security.
18,2,Cleveland has nothing to lose vs. Patriots,"CLEVELAND  #151; This area is football #146;s mecca  #151; the Hall of Fame is about an hour away, in Canton  #151; yet the fans here have been deprived of good football for so long."
